name	norad	classification	int_desig	epoch_year	epoch_day	dn_o2	ddn_o6	bstar	set_num	inc	raan	ecc	argp	M	n	rev_num	epoch
FENGYUN 1C DEB	33621	U	99025DDE	2022	91.06268058	1.37E-05	0	0.00048945	999	98.2332	29.2512	0.0305855	262.3169	94.3177	14.12698128	45119	30:15.6
FENGYUN 1C DEB	33622	U	99025DDF	2022	91.02708663	4.59E-05	0	0.0022118	999	98.9541	175.9422	0.0034739	23.7722	336.5049	14.18831031	75817	39:00.3
FENGYUN 1C DEB	33623	U	99025DDG	2022	90.33524848	4.07E-05	0	0.0023297	999	98.1727	292.0705	0.0083438	275.3673	83.7983	14.08221461	42136	02:45.5
FENGYUN 1C DEB	33624	U	99025DDH	2022	92.29450609	0.00021379	0	0.0026035	999	98.0837	102.6546	0.0352879	148.4508	213.8382	14.4786682	73264	04:05.3
FENGYUN 1C DEB	33625	U	99025DDJ	2022	86.43336198	1.34E-05	0	0.00027475	999	98.6912	150.9864	0.0295969	276.1363	80.6183	14.38652107	41769	24:02.5
FENGYUN 1C DEB	33628	U	99025DDM	2022	92.71319366	0.00031939	0	0.0031224	999	98.3698	257.5682	0.0148935	187.9811	171.9031	14.84258965	75591	06:59.9
FENGYUN 1C DEB	33630	U	99025DDP	2022	92.09909746	5.57E-06	0	0.0002878	999	98.4837	235.4143	0.0141669	348.4621	11.3316	14.13684621	45304	22:42.0
FENGYUN 1C DEB	33632	U	99025DDR	2022	91.99521166	0.00012171	0	0.0028177	999	99.0674	104.1257	0.0047884	226.7392	132.9802	14.54558941	73401	53:06.3
FENGYUN 1C DEB	33633	U	99025DDS	2022	93.14683288	2.19E-05	0	0.0013307	999	99.1117	156.9903	0.0096173	338.3688	76.0876	14.05071519	71680	31:26.4
FENGYUN 1C DEB	33636	U	99025DDV	2022	92.34003494	1.29E-05	0	0.00056398	999	98.5786	127.4589	0.0075329	93.4274	280.3489	14.24108234	50810	09:39.0
FENGYUN 1C DEB	33637	U	99025DDW	2022	92.33156759	2.41E-05	0	0.0010097	999	98.6238	144.8937	0.0100321	159.6045	200.9185	14.24176161	45546	57:27.4
FENGYUN 1C DEB	33638	U	99025DDX	2022	92.38007171	1.22E-05	0	0.0012296	999	98.4442	137.082	0.0278107	257.5975	99.392	13.63468306	42479	07:18.2
FENGYUN 1C DEB	33639	U	99025DDY	2022	90.99298351	2.79E-05	0	0.0012566	999	98.7743	162.1873	0.0064596	277.5249	81.8593	14.21884287	41275	49:53.8
